"Price","Beds","Lon","Lat"
79.95,"2",-2.95993,53.3815
150,"2",-2.99514,53.408
195,"2",-3.00144,53.4148
182.95,"2",-2.9944565,53.40941
159.95,"2",-2.98566,53.3993
120,"2",-2.97819,53.3989
155,"2",-2.97982,53.4004
77.5,"2",-2.93261,53.3984
181.25,"2",-2.99369,53.4069
65,"2",-2.93914,53.45145
95,"2",-2.94113,53.4446
172,"2",-2.99403,53.4132
150,"2",-2.96804,53.3974
159.95,"2",-2.97776,53.4161
105.35,"2",-2.91026,53.4639
180.5,"2",-2.98318,53.4142
125,"2",-2.98595,53.41362
155,"2",-2.888922,53.407215
155,"2",-2.99077,53.4057
159.95,"2",-2.9853,53.3881
105,"2",-2.9497,53.4514
155,"2",-2.99077,53.4057
57,"2",-2.94601,53.3962
75,"2",-2.863505,53.433266
85,"2",-2.9534314,53.45455
89.95,"2",-2.8838,53.3515
155,"2",-2.98567,53.3875
202.95,"2",-2.98561,53.40938
167.5,"2",-2.99279,53.4101
199.95,"2",-2.94289,53.3898
119.95,"2",-2.98739,53.4103
125,"2",-2.99343,53.421
132,"2",-2.93417,53.3735
50,"2",-2.95704,53.3901
56,"2",-2.97588,53.4404
199.95,"2",-2.99864,53.4162
124.995,"2",-2.98558,53.4114
110,"2",-2.87316,53.4524
135,"2",-2.88569,53.4159
110,"2",-2.97982,53.4004
135,"2",-2.97067,53.3782
235,"2",-2.99979,53.4143
115,"2",-2.98834,53.4285
85,"2",-2.95348,53.4552
110,"2",-2.96879,53.4497
85,"2",-2.90778,53.4693
169.95,"2",-2.9781,53.3949
198.95,"2",-2.99012,53.403
205.045,"2",-2.99979,53.4143
122,"2",-2.93659,53.3897
160,"2",-2.9901,53.4104
119.95,"2",-2.96905,53.3773
190,"2",-2.9796,53.3999
120,"2",-2.89619,53.4508
168,"2",-2.99659,53.4099
120,"2",-2.88349,53.4529
170,"2",-2.887169,53.45059
69.995,"2",-2.96894,53.4485
219.95,"2",-2.92944,53.4795
60,"2",-2.98993,53.4471
156.95,"2",-2.97789,53.3917
62,"2",-2.96505,53.449
150,"2",-2.88224,53.4231
199.999,"2",-2.9947658,53.405205
97.5,"2",-2.89254,53.4355
70,"2",-2.99618,53.4638
187.466,"2",-2.99321,53.4052
201,"2",-2.99979,53.4143
120,"2",-2.96716,53.3788
260,"2",-2.99659,53.4099
80,"2",-2.91858,53.4664
82,"2",-2.88389,53.4503
149.995,"2",-2.95388,53.3798
90,"2",-2.87706,53.4331
103.2,"2",-2.9867,53.4509
140,"2",-3.01862,53.477
62.5,"2",-3.0023243,53.458748
459,"2",-2.8911686,53.37721
115,"2",-3.02167,53.4705
95,"2",-2.88389,53.4503
90,"2",-2.96946,53.38
94.95,"2",-2.92754,53.4688
190,"2",-2.98257,53.474
129.95,"2",-2.9704876,53.378094
115,"2",-2.95136,53.4641
139,"2",-2.93417,53.3735
79.95,"2",-2.86453,53.4232
65,"2",-2.86004,53.432
240,"2",-2.86459,53.37268
87.5,"2",-2.847778,53.40918
100,"2",-2.838587,53.38824
220,"2",-2.851775,53.37577
55,"2",-3.0048,53.4607
114.95,"2",-3.01943,53.4718
58,"2",-2.99944,53.4661
165,"2",-2.840261,53.409393
122.5,"2",-2.871816,53.38413
95,"2",-2.843741,53.411
70,"2",-2.997006,53.46109
75,"2",-3.00916,53.4626
125,"2",-3.02001,53.481
87.5,"2",-2.8292,53.4035
94.95,"2",-2.82027,53.4097
190,"2",-2.833958,53.41024
54.95,"2",-3.0117,53.4609
90,"2",-2.83562,53.4225
129.95,"2",-3.00457,53.4781
75,"2",-3.01488,53.4686
69.95,"2",-2.83363,53.4267
115,"2",-2.818299,53.411896
70,"2",-2.85751,53.3809
95,"2",-3.02717,53.4779
149.95,"2",-2.83644,53.4046
75,"2",-2.839153,53.391354
119,"2",-3.01794,53.48
125,"2",-3.00457,53.4781
225,"2",-3.04508,53.485
105,"2",-2.9969,53.4813
65,"2",-2.83262,53.4262
179,"2",-3.03769,53.4866
107.5,"2",-2.82422,53.4124
67.5,"2",-2.89649,53.3474
95,"2",-2.834337,53.40268
70,"2",-2.82286,53.41
140,"2",-2.832366,53.36332
73,"2",-2.89423,53.3543
75,"2",-2.883391,53.349182
109.5,"2",-2.82164,53.4169
95,"2",-2.81959,53.4098
65,"2",-2.89423,53.3543
100,"2",-3.00732,53.4785
66.5,"2",-2.89423,53.3543
54.995,"2",-2.88157,53.4847
47.5,"2",-2.86995,53.4721
99.95,"2",-2.834337,53.40268
139.95,"2",-3.04093,53.4828
49,"2",-2.97929,53.4882
109.95,"2",-3.02775,53.4738
85,"2",-3.01863,53.4803
99.95,"2",-3.0341,53.4801
94.95,"2",-2.8845,53.3522
